Line,GEBV_Brix,GEBV_Axis_length,GEBV_Immature_fruit_external_color_a,GEBV_Immature_fruit_external_color_b,GEBV_Immature_fruit_external_color_L,GEBV_Fruit_external_color_a,GEBV_Fruit_external_color_b,GEBV_Fruit_external_color_L,GEBV_Fruit_fasciation,GEBV_Fruit_maximum_length,GEBV_Fruit_load,GEBV_Flowering_time,GEBV_Fruit_pungency,GEBV_Fruit_shape_index,GEBV_Fruit_weight,GEBV_Fruit_maximum_width,GEBV_External_immature_fruit_color_green,GEBV_Locule_number,GEBV_Total_plant_height,GEBV_Pericarp_thickness,GEBV_Total_fruit_weight,GEBV_Total_fruit_number,GEBV_Fruit_predominant_shape_oblate
GPC112800,1.012106288,-0.42858497,-0.353663515,-1.673198367,-2.987424745,5.648150161,5.088458178,3.932011137,-0.67870136,-2.75952919,-0.085216474,2.900042733,0.39119773,1.001655894,-51.17440225,-2.464716796,0.205116654,-0.416046496,11.97632527,-1.644736638,-365.0740987,24.82211932,-0.087764103
GPC112810,0.479302819,-6.794954612,0.637292944,-5.386328214,-7.634947804,6.420258708,0.442339313,0.480024039,0.093582771,3.579905811,0.033408925,5.706196898,0.194201535,4.798308457,-34.7051216,-1.861376268,0.328258997,-0.41744522,-12.01473454,-1.900728346,-169.9313902,8.807551172,-0.055119942
GPC112820,0.647805288,5.646272314,0.49877106,-0.943513541,-1.324849767,5.714241635,2.99344506,2.307212564,-0.426774247,4.09720821,-0.131363111,6.975232484,0.296426172,5.781466499,-40.88058548,-2.39226878,0.022315157,-0.504207476,11.07731058,-2.167537283,-227.3359564,16.72606723,-0.048896676
GPC112830,1.422082994,19.54255824,-1.036709519,-0.765001209,-1.263720025,3.175100965,22.03879191,13.58134232,-0.652057201,-2.316782236,-0.366340089,12.39865297,0.441320943,0.533889371,-38.54593407,-1.87476142,-0.067408294,-0.36590446,19.92815451,-1.887066382,-258.8032119,7.264218212,-0.045677252
GPC112840,0.99850543,5.200473372,0.320417376,-2.810038712,-4.316428342,5.501826228,3.457751934,2.153498122,-0.473603851,-0.173841853,-0.126241941,3.760970928,0.341133786,3.513593439,-34.01866198,-1.949585123,0.041650768,-0.431431884,2.85362415,-1.798819327,-208.5207589,44.52726746,-0.05445264
GPC112850,0.306680137,9.661034412,1.595970326,-4.255634426,-2.919392075,3.221796402,5.161909669,3.736620333,-0.344478566,0.658572278,-0.129399205,3.499841661,0.305236852,1.453548093,-30.92542524,-1.256672208,0.101394,-0.180048658,14.87340321,-1.688946185,-200.8493619,-2.840068347,-0.043885145
GPC112860,-0.378320658,10.99354188,-0.80109466,0.3226686,-3.19356469,6.011250678,6.121377179,4.280188292,-0.093098856,-3.199347068,-0.082212206,6.473796246,0.313798874,0.62394003,-41.13687578,-1.859904285,-0.044713074,-0.423109692,17.66266985,-2.206639074,-324.8313627,32.82224119,-0.056246474
GPC112870,-0.715597446,-3.892582098,0.122078419,-0.572960549,-0.406024143,-0.282144028,1.993517886,0.954818969,0.49563546,2.464264755,-0.043441983,0.679330203,-0.31800767,-0.462466489,36.39946298,1.53306613,-0.279157352,0.397648787,7.18076033,0.044512608,125.6737637,-5.407385094,-0.009497683
GPC112880,0.74288496,6.849472193,0.052230709,-2.170349763,-5.443909604,5.977091787,1.847419801,1.366798507,-0.10137304,-1.263776694,-0.089088832,5.755202841,0.342965507,1.880779135,-31.11307311,-1.685976055,0.350633575,-0.392818278,21.4324481,-1.726821778,-277.63429,18.95354553,-0.047211371
GPC112890,1.051885742,7.540031686,-0.533397088,-3.129740838,-5.806242623,5.90666797,3.715631868,2.385971812,-0.224746542,0.497781364,-0.18610653,4.381818952,0.245245706,4.144495823,-33.931349,-2.029237534,0.183816244,-0.418144996,16.67670488,-2.228817284,-252.8430166,32.69760639,-0.061798816
GPC112900,-0.230235186,-2.551253752,2.513186915,-4.575893915,-4.466177823,-4.108462393,6.241413983,3.843122372,0.528782741,-1.00784584,-0.01420879,-0.148575114,-0.296426291,-2.402183817,51.46226652,2.490268469,0.111996587,0.376498167,-6.288170592,1.042671078,96.40097886,-17.70130899,0.015916174
GPC112920,-0.306796733,-6.608300384,0.802570035,-2.856089871,-3.713939232,-6.20485153,13.89198045,8.167027882,0.517073007,4.941461963,0.043884379,-2.364734545,-0.448514236,0.338511415,40.27473172,1.40913634,0.063461102,0.22561046,-1.55932306,0.464132096,122.0615927,15.53717167,0.029351704
GPC112930,-1.036752999,2.086428504,1.814226117,-3.187267301,-4.887096603,-1.51559213,-1.372115182,-0.506901632,0.817789872,-2.327632623,0.132583271,-1.321352747,-0.534401695,-2.419370599,40.86689485,2.433702894,-0.066158599,0.401075559,-15.25845829,1.27579197,148.8977531,-17.34228388,0.050215569
