Line,Group,GEBV_Brix,GEBV_Axis_length,GEBV_Immature_fruit_external_color_a,GEBV_Immature_fruit_external_color_b,GEBV_Immature_fruit_external_color_L,GEBV_Fruit_external_color_a,GEBV_Fruit_external_color_b,GEBV_Fruit_external_color_L,GEBV_Fruit_fasciation,GEBV_Fruit_maximum_length,GEBV_Fruit_load,GEBV_Flowering_time,GEBV_Fruit_pungency,GEBV_Fruit_shape_index,GEBV_Fruit_weight,GEBV_Fruit_maximum_width,GEBV_External_immature_fruit_color_green,GEBV_Locule_number,GEBV_Total_plant_height,GEBV_Pericarp_thickness,GEBV_Total_fruit_weight,GEBV_Total_fruit_number,GEBV_Fruit_predominant_shape_oblate
GPC011920,Core,-0.527415757,1.956486802,-0.189709303,2.075057563,0.67837127,-0.160489851,0.291496102,1.487749642,-0.039433168,-2.089250367,-0.014834092,6.622212018,-0.044210395,0.091957152,13.04823463,0.051335412,-0.073959113,-0.161107459,7.166102674,0.080494192,-63.0469009,48.9187384,0.0177588
GPC014350,Core,-0.475150062,-3.784592214,2.149188661,-2.495952428,-1.560436572,-4.083417511,-0.562677562,-0.30354451,0.095337335,2.448326694,-0.037192764,0.80870953,-0.427942713,-0.103784032,19.20507818,0.687788833,0.030900537,0.196541037,-0.205282794,0.670868425,60.04704204,3.234718797,0.019240003
GPC014360,Core,-0.466315559,-1.611186419,3.617007155,1.425332265,5.436992751,0.145986717,0.026268436,0.66988656,-0.220934345,-1.75348895,-0.048027114,2.707351186,-0.185463257,-1.075502712,13.98971792,0.127447559,-0.424031427,-0.107816107,1.537822225,0.200994788,-41.94981463,41.73862762,0.003203175
GPC014400,Core,-1.241330979,-13.54597639,6.100009653,15.09363037,28.60293394,2.480200665,0.536036305,3.123341511,-0.429137525,-6.092343108,0.070987943,-3.880530349,-0.005640388,-2.717936872,1.863359034,-0.497592483,-1.898800227,0.087793196,-35.99309255,-0.233663347,-128.9313891,120.3089272,0.004675727
GPC014460,Core,-0.608309045,-6.138476154,4.230228478,6.584125164,14.52100181,-0.180956282,0.170788982,1.220907925,-0.179809569,-3.029306829,0.038921216,1.175013134,-0.152853595,-1.129889703,11.86596702,0.01481385,-0.988638301,0.090142271,-15.16260878,0.022140218,-63.68650935,65.66678752,0.004867676
GPC014610,Core,-3.347100209,-7.813833532,9.57834298,1.633630385,15.44126729,-7.130910441,-0.517826701,2.24368873,0.222377626,0.358560009,-0.22279725,-0.265530357,-1.005640387,-3.237280059,80.6752966,4.105921472,-1.906375985,0.465570973,-37.38248649,3.053793917,92.31861098,-34.68440606,0.048742982
GPC014630,Core,-1.548907011,-4.791623594,3.514187298,4.696188958,7.085627177,-6.219260114,-0.79763687,-0.826648574,0.285995023,-0.255140934,-0.087712974,-0.066236191,-0.685085928,-2.680549473,62.25817242,3.095865647,-0.856938892,0.441251387,-17.33072022,2.386468048,153.2595069,-28.95657861,0.061261474
GPC014680,Core,0.143284403,-1.444309731,7.508342982,-7.559702942,-8.412066034,-6.90262207,-1.03721406,-6.612514268,-0.151359748,0.818266966,-0.274755513,-5.640530355,-0.27836766,-1.223507167,23.58692666,0.918375686,0.492225412,0.03223764,-1.636682337,1.320726285,-63.06972241,-28.54607271,0.021035199
GPC014750,Core,-2.030433544,-10.90430972,-0.493323677,3.475297046,1.727933954,-5.252822203,-0.964190386,-3.218848025,0.110078161,5.887497733,0.216960762,-1.788678504,-1.005640387,-0.322353322,42.1273113,1.56068338,-0.682133562,0.198904307,-22.71809257,1.745943678,161.7236109,-30.14107272,0.034789429
GPC014930,Core,0.226332969,-0.754891781,0.682071862,4.068973523,3.681231968,0.112058514,0.528712885,1.401064818,-0.389796634,-2.582527847,-0.09616353,3.728350416,0.12041031,0.520225908,-7.96211317,-1.076711355,-0.202054002,-0.221145633,-0.681236577,-0.678371726,-182.9444045,55.49408043,-0.006587346
GPC014940,Core,-0.553507065,-1.490871098,0.373498501,1.888357101,1.519380626,-3.187663489,-0.290164044,-0.035106835,-0.065559606,-0.402635466,-0.009701447,1.094466053,-0.257444333,-0.3186034,15.55141558,0.503575391,-0.188906215,0.011158908,-0.60412838,0.552832629,-5.918612782,7.913692396,0.023907727
GPC014960,Core,-0.559616511,0.242329289,1.360168749,-0.882079585,-0.255125634,-2.443940175,-0.163161524,0.205925422,-0.075746716,-1.578009076,-0.076496071,3.005200039,-0.220561451,-0.757233272,25.39031943,0.800173264,-0.030858572,0.042004846,0.682640089,0.781091949,8.524518703,14.29963477,0.023148233
GPC015090,Core,-0.807467757,-2.420766762,2.138680264,4.408448369,6.433543672,-2.753971668,-0.292248683,0.324990323,0.115771662,-0.702277494,-0.023787088,2.841770683,-0.311822761,-1.405619091,30.91344548,1.291211296,-0.58961177,0.143960029,-3.641568319,1.00633777,87.36658942,10.50427647,0.027323746
GPC015320,Core,-1.226901025,0.435223065,2.877859679,-4.640350527,-3.967341951,-10.71656391,-0.468257256,2.504689855,0.678299266,1.939572895,-0.095262448,4.612237365,-0.730807486,-2.260021908,60.99638602,2.922714673,0.026732321,0.539317734,4.205730686,1.99802042,241.5929608,-25.82801756,0.055973346
